id_evenement_api,ville_id,nom,description,date_debut,date_fin,latitude,longitude,adresse
FMAMID031V50K84P,1,BROCANTE DES ALLÉES,Venez chiner en famille ou entre amis à la brocante des allées François-Verdier en plein cœur de Toulouse !,2024-09-06,2024-12-08,43.59853,1.45199,Allées Forain-François Verdier
FMAMID031V50UHMG,1,CASSE-NOISETTE - BALLET ET ORCHESTRE,"Dans ce conte de Noël, la jeune Clara reçoit en cadeau un casse-noisette en forme de petit bonhomme. Au cours d’une nuit animée par une mystérieuse magie, les jouets, menés par Casse-Noisette, se livrent à une bataille acharnée contre les affreuses souris de la maison.",2024-11-22,2024-11-22,43.598264,1.4092542,11 Avenue Raymond Badiou
FMAMID031V50XOXG,1,CELTIC LEGENDS,"CELTIC LEGENDS fait son grand retour avec un tout nouveau spectacle, plongeant au cœur de la tradition et de la puissance indomptable de l'île d'Émeraude !",2025-03-19,2025-03-19,43.598264,1.4092542,11 Avenue Raymond Badiou
FMAMID031V50XQZX,1,CEST ENCORE MIEUX L'APRÈS-MIDI,"Une comédie qui claque autant que les 6 portes de cette joyeuse fête.

Durée : 1h30",2024-12-14,2024-12-31,43.5827373,1.34529442,Place Roger Panouse
FMAMID031V50W614,1,CHANSONS DANSÉES,"Van Cauwenbergh / Runacre-Temple / Bigonzetti 
Chansons dansées est à la fois un hommage à la chanson à textes française et à la chanson traditionnelle d’Italie du sud.",2025-03-07,2025-03-12,43.60447,1.44379,Place du Capitole
FMAMID031V50TQZ9,1,DES ORNEMENTS EN SÉRIE,Visite guidée proposée par l'Espace patrimoine en partenariat avec l’office de tourisme de Toulouse.,2024-11-23,2024-12-14,43.599702,1.444301,Place de la Trinité
FMAMID031V50VHL2,1,DISNEY EN CONCERT,Disney en Concert : « Magical Music from the movies » revient en France en 2024 pour une tournée de spectacles exceptionnels !,2024-12-07,2024-12-07,43.598264,1.4092542,11 Avenue Raymond Badiou
FMAMID031V50XOYE,1,ÉLODIE POUX,"Comment passe-t-on d'animatrice périscolaire à humoriste ?
A cette question, très souvent posée, Elodie Poux a voulu répondre de la plus belle des manières : avec un spectacle !",2025-04-12,2025-04-12,43.598264,1.4092542,11 Avenue Raymond Badiou
FMAMID031V50RIUT,1,FESTIVAL CULTURE BAR-BARS,"Vos cafés, bars et club locaux vous ouvrent offrent pour cette 22e édition une programmation artistique abondante, diverse, variée et indépendante.",2024-11-28,2024-11-30,43.6046256,1.444205,
FMAMID031V50V1P1,1,FESTIVAL DU LIVRE DE JEUNESSE EN OCCITANIE,Le festival est de retour à Saint-Orens de Gameville et dans les communes de Toulouse Métropole pour sa 23e édition autour de la figure du héros dans la littérature jeunesse.,2025-01-25,2025-01-26,43.560096,1.5305465,
